,Flatform,Frequency,Na_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,PS2,2159,582.169999999992,338.18999999999585,139.20000000000064,193.00000000000063,1252.429999999987
1,DS,2156,390.66999999999774,194.62999999999937,175.3400000000005,60.52999999999964,822.1899999999875
2,PS3,1326,392.2599999999998,343.22999999999803,79.92000000000006,141.92999999999992,957.2899999999987
3,Wii,1324,507.55999999999915,268.3299999999979,69.21000000000002,80.6000000000016,926.3599999999971
4,X360,1261,601.0399999999992,280.53999999999644,12.419999999999924,85.54000000000137,979.8899999999996
5,PSP,1211,108.92999999999975,68.25000000000016,76.67000000000021,42.18999999999995,296.0999999999948
6,PS,1193,335.649999999998,213.02000000000064,139.78000000000003,40.799999999999926,729.0699999999971
7,PC,954,93.2200000000005,139.3800000000002,0.16999999999999998,24.86000000000044,258.45999999999896
8,XB,824,186.6900000000008,60.95000000000009,1.3800000000000006,8.71999999999992,258.25999999999834
9,GBA,796,181.8500000000002,73.1500000000006,47.06,7.619999999999943,310.28999999999826
10,GC,556,133.46000000000004,38.71000000000004,21.580000000000002,5.179999999999967,199.3600000000007
11,3DS,507,78.86999999999996,58.51000000000003,97.33000000000003,12.629999999999946,247.4300000000001
12,PSV,411,16.200000000000006,16.330000000000005,20.93000000000008,8.449999999999983,61.90000000000005
13,PS4,336,96.79999999999998,123.69999999999995,14.299999999999976,43.359999999999935,278.0999999999994
14,N64,319,139.02000000000015,41.060000000000045,34.21999999999999,4.37999999999999,218.87999999999985
15,SNES,239,61.22999999999998,19.040000000000013,116.54999999999997,3.2199999999999975,200.05000000000024
16,XOne,213,83.19000000000003,45.650000000000055,0.34000000000000014,11.919999999999972,141.05999999999995
17,SAT,173,0.7200000000000001,0.54,32.260000000000005,0.07,33.59000000000002
18,WiiU,143,38.31999999999999,24.230000000000015,12.789999999999994,6.449999999999989,81.86000000000006
19,2600,133,90.59999999999992,5.46999999999998,0.0,0.9100000000000006,97.08000000000003
20,NES,98,125.94000000000005,21.150000000000006,98.64999999999996,5.309999999999989,251.06999999999988
21,GB,98,114.32000000000001,47.82,85.12000000000002,8.199999999999998,255.44999999999987
22,DC,52,5.43,1.6900000000000002,8.56,0.27,15.969999999999997
23,GEN,27,19.27,5.5200000000000005,2.669999999999999,0.8900000000000001,28.360000000000003
24,NG,12,0.0,0.0,1.4400000000000004,0.0,1.4400000000000004
25,WS,6,0.0,0.0,1.42,0.0,1.42
26,SCD,6,1.0,0.36,0.45,0.05,1.8700000000000003
27,3DO,3,0.0,0.0,0.1,0.0,0.1
28,TG16,2,0.0,0.0,0.16,0.0,0.16
29,GG,1,0.0,0.0,0.04,0.0,0.04
30,PCFX,1,0.0,0.0,0.03,0.0,0.03
