,Genre,Frequency,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Action,3309,877.5399999999918,877.5399999999918,159.49000000000092,187.34999999999724,1750.3299999999695
1,Sports,2343,682.5399999999968,682.5399999999968,135.2500000000004,134.8699999999976,1329.349999999988
2,Misc,1712,404.66999999999905,404.66999999999905,107.71999999999994,75.22000000000138,802.1499999999937
3,Role-Playing,1486,327.279999999999,327.279999999999,352.2599999999979,59.60999999999999,927.3099999999941
4,Shooter,1308,582.589999999995,582.589999999995,38.28000000000007,102.69000000000112,1037.3199999999902
5,Adventure,1282,105.66999999999999,105.66999999999999,51.99000000000029,16.810000000000024,238.77000000000137
6,Racing,1248,359.41999999999774,359.41999999999774,56.69000000000002,77.27000000000116,732.0299999999955
7,Platform,884,447.0499999999991,447.0499999999991,130.77000000000012,51.589999999999776,830.8699999999974
8,Simulation,863,183.31000000000068,183.31000000000068,63.640000000000065,31.520000000000294,391.9599999999979
9,Fighting,846,221.9200000000002,221.9200000000002,87.35000000000014,36.23999999999997,445.69999999999936
10,Strategy,678,68.6400000000002,68.6400000000002,49.34000000000003,11.359999999999932,174.8300000000004
11,Puzzle,581,123.78000000000009,123.78000000000009,57.30999999999997,12.549999999999935,244.9400000000005
